CT #,GRP #,M #,Client Company,Shipping Term,Transport Mode,Shipper,Consignee,Origin Country,Destination Country,Origin,Destination,Delivery,Port of Loading,Transshipment Port,Port of Discharge,Act Port Load,Act Port Disch,Cargo Ready,Act Depart,Act Arriv,Act Deliv,CT Conts ST,20,40,40HQ,45,CT CBM,CT CWT,CT GWT kg,CT Plts,Sales Invoice #,Date Issued,Issued by,Bill To Party Company,Status,Currency,Billed Sales Amount,USD Sales Amount,Sales Invoice #,SI CC,SI CC Description,USD SI CC
720003,CT720003,41003,Calderwood Brands GmbH (DE),CIF,Trucking-Domestic,"Dezhou Xingyuan Textile Homeware Co., Ltd. - Dezhou",Calderwood Brands GmbH - Hamburg,China,Germany,"Qingdao, China","Hamburg, Germany",Calderwood Brands c/o Saalepark - Leipzig,"Qingdao, China",,"Hamburg, Germany",15-Jan-2026,18-Jan-2026,12-Jan-2026,15-Jan-2026,18-Jan-2026,23-Jan-2026,,,,,,,,,,CB100203,01-Feb-2026,Sanne de Waard,Calderwood Brands GmbH - Hamburg,open,EUR,1290.28,-related-,CB100203,1503,Import Trucking - 40'hc,431.51
720003,CT720003,41003,Calderwood Brands GmbH (DE),CIF,Trucking-Domestic,"Dezhou Xingyuan Textile Homeware Co., Ltd. - Dezhou",Calderwood Brands GmbH - Hamburg,China,Germany,"Qingdao, China","Hamburg, Germany",Calderwood Brands c/o Saalepark - Leipzig,"Qingdao, China",,"Hamburg, Germany",15-Jan-2026,18-Jan-2026,12-Jan-2026,15-Jan-2026,18-Jan-2026,23-Jan-2026,,,,,,,,,,CB100203,02-Feb-2026,Sanne de Waard,Calderwood Brands GmbH - Hamburg,open,EUR,1290.28,-related-,CB100203,1620,Bill of Lading Fee,68.65
720004,CT720004,41004,Calderwood Brands GmbH (DE),DDP,OCEAN - FCL (AW),Calderwood Sourcing Nord GmbH - Hamburg,Calderwood Benelux B.V. - Eindhoven,China,Netherlands,"Qingdao, China","Rotterdam, Netherlands",Dommelvracht Logistiek BV - Eindhoven,"Qingdao, China",,"Rotterdam, Netherlands",09-Sep-2025,21-Oct-2025,02-Sep-2025,09-Sep-2025,21-Oct-2025,23-Oct-2025,,0,0,1,0,1.276,431.06,431.06,1,CB100204,30-Oct-2025,Jakub Zielinski,Calderwood Brands GmbH - Hamburg,open,EUR,5151.08,5614.68,CB100204,1301,Oceanfreight - FCL,3999.97
720004,CT720004,41004,Calderwood Brands GmbH (DE),DDP,OCEAN - FCL (AW),Calderwood Sourcing Nord GmbH - Hamburg,Calderwood Benelux B.V. - Eindhoven,China,Netherlands,"Qingdao, China","Rotterdam, Netherlands",Dommelvracht Logistiek BV - Eindhoven,"Qingdao, China",,"Rotterdam, Netherlands",09-Sep-2025,21-Oct-2025,02-Sep-2025,09-Sep-2025,21-Oct-2025,23-Oct-2025,,0,0,1,0,,,,,CB100204,08-Nov-2025,Jakub Zielinski,Calderwood Brands GmbH - Hamburg,open,EUR,5151.08,-related-,CB100204,1601,Origin Handling,160.91
720004,CT720004,41004,Calderwood Brands GmbH (DE),DDP,OCEAN - FCL (AW),Calderwood Sourcing Nord GmbH - Hamburg,Calderwood Benelux B.V. - Eindhoven,China,Netherlands,"Qingdao, China","Rotterdam, Netherlands",Dommelvracht Logistiek BV - Eindhoven,"Qingdao, China",,"Rotterdam, Netherlands",09-Sep-2025,21-Oct-2025,02-Sep-2025,09-Sep-2025,21-Oct-2025,23-Oct-2025,,,,,,,,,,CB100204,04-Nov-2025,Jakub Zielinski,Calderwood Brands GmbH - Hamburg,open,EUR,5151.08,-related-,CB100204,1638,Destination DAP Charges + Delivery,1453.80
720005,CT720005,41005,Calderwood Brands GmbH (DE),DAP,Trucking-Cross Border,"Qingdao Haiyue Garden Tools Co., Ltd. - Qingdao",Calderwood Brands GmbH - Hamburg,Hong Kong,Germany,"Qingdao, China","Hamburg, Germany",Nordfracht Kontraktlogistik - Hannover,"Qingdao, China",,"Hamburg, Germany",27-May-2025,01-Jun-2025,21-May-2025,27-May-2025,01-Jun-2025,12-Jun-2025,,,,,,38.029,7479.58,7479.58,30,CB100205,25-Jun-2025,Ruben Oosterhuis,Calderwood Brands GmbH - Hamburg,open,EUR,3102.50,3381.72,CB100205,1401,Road Freight - Domestic,1607.88
720005,CT720005,41005,Calderwood Brands GmbH (DE),DAP,Trucking-Cross Border,"Qingdao Haiyue Garden Tools Co., Ltd. - Qingdao",Calderwood Brands GmbH - Hamburg,Hong Kong,Germany,"Qingdao, China","Hamburg, Germany",Nordfracht Kontraktlogistik - Hannover,"Qingdao, China",,"Hamburg, Germany",27-May-2025,01-Jun-2025,21-May-2025,27-May-2025,01-Jun-2025,12-Jun-2025,,,,,,,,,,CB100205,15-Jun-2025,Ruben Oosterhuis,Calderwood Brands GmbH - Hamburg,open,EUR,3102.50,-related-,CB100205,1503,Import Trucking,1606.65
720005,CT720005,41005,Calderwood Brands GmbH (DE),DAP,Trucking-Cross Border,"Qingdao Haiyue Garden Tools Co., Ltd. - Qingdao",Calderwood Brands GmbH - Hamburg,Hong Kong,Germany,"Qingdao, China","Hamburg, Germany",Nordfracht Kontraktlogistik - Hannover,"Qingdao, China",,"Hamburg, Germany",27-May-2025,01-Jun-2025,21-May-2025,27-May-2025,01-Jun-2025,12-Jun-2025,,,,,,,,,,CB100205,17-Jun-2025,Ruben Oosterhuis,Calderwood Brands GmbH - Hamburg,open,EUR,3102.50,-related-,CB100205,1620,Bill of Lading Fee,75.94
720005,CT720005,41005,Calderwood Brands GmbH (DE),DAP,Trucking-Cross Border,"Qingdao Haiyue Garden Tools Co., Ltd. - Qingdao",Calderwood Brands GmbH - Hamburg,Hong Kong,Germany,"Qingdao, China","Hamburg, Germany",Nordfracht Kontraktlogistik - Hannover,"Qingdao, China",,"Hamburg, Germany",27-May-2025,01-Jun-2025,21-May-2025,27-May-2025,01-Jun-2025,12-Jun-2025,,,,,,,,,,CB100205,16-Jun-2025,Ruben Oosterhuis,Calderwood Brands GmbH - Hamburg,open,EUR,3102.50,-related-,CB100205,1600,Outlay Fee,91.25
720006,CT720006,41006,Calderwood Brands GmbH (DE),DDP,AIR,Calderwood Sourcing Nord GmbH - Hamburg,Calderwood Benelux B.V. - Eindhoven,China,Netherlands,"Qingdao, China","Rotterdam, Netherlands",Maasgouw Contract Logistics - Born,"Qingdao, China",,"Rotterdam, Netherlands",03-Aug-2025,06-Aug-2025,27-Jul-2025,03-Aug-2025,06-Aug-2025,10-Aug-2025,,,,,,5.561,1301.81,1301.81,4,CB100206,29-Aug-2025,Ruben Oosterhuis,Calderwood Brands GmbH - Hamburg,open,EUR,4338.47,4728.93,CB100206,1101,Airfreight,4002.00
720006,CT720006,41006,Calderwood Brands GmbH (DE),DDP,AIR,Calderwood Sourcing Nord GmbH - Hamburg,Calderwood Benelux B.V. - Eindhoven,China,Netherlands,"Qingdao, China","Rotterdam, Netherlands",Maasgouw Contract Logistics - Born,"Qingdao, China",,"Rotterdam, Netherlands",03-Aug-2025,06-Aug-2025,27-Jul-2025,03-Aug-2025,06-Aug-2025,10-Aug-2025,,,,,,,,,,CB100206,12-Aug-2025,Ruben Oosterhuis,Calderwood Brands GmbH - Hamburg,open,EUR,4338.47,-related-,CB100206,1601,Origin Handling,156.41
720006,CT720006,41006,Calderwood Brands GmbH (DE),DDP,AIR,Calderwood Sourcing Nord GmbH - Hamburg,Calderwood Benelux B.V. - Eindhoven,China,Netherlands,"Qingdao, China","Rotterdam, Netherlands",Maasgouw Contract Logistics - Born,"Qingdao, China",,"Rotterdam, Netherlands",03-Aug-2025,06-Aug-2025,27-Jul-2025,03-Aug-2025,06-Aug-2025,10-Aug-2025,,,,,,,,,,CB100206,13-Aug-2025,Ruben Oosterhuis,Calderwood Brands GmbH - Hamburg,open,EUR,4338.47,-related-,CB100206,1503,Import Trucking - 40'hc,570.52
720007,CT720007,41007,Calderwood Brands GmbH (DE),EXW,OCEAN - FCL (AW),"Jiaozhou Fengtai Housewares Co., Ltd. - Jiaozhou",Calderwood Benelux B.V. - Eindhoven,China,Netherlands,"Qingdao, China","Rotterdam, Netherlands",Maasgouw Contract Logistics - Born,"Qingdao, China",,"Rotterdam, Netherlands",05-Aug-2025,06-Sep-2025,28-Jul-2025,05-Aug-2025,06-Sep-2025,14-Sep-2025,,0,0,2,0,54.652,11991.09,11991.09,44,CB100207,25-Sep-2025,Bettina Schroeder,Calderwood Brands GmbH - Hamburg,open,USD,13897.76,13897.76,CB100207,1301,Ocean Freight FCL,7735.69
720007,CT720007,41007,Calderwood Brands GmbH (DE),EXW,OCEAN - FCL (AW),"Jiaozhou Fengtai Housewares Co., Ltd. - Jiaozhou",Calderwood Benelux B.V. - Eindhoven,China,Netherlands,"Qingdao, China","Rotterdam, Netherlands",Maasgouw Contract Logistics - Born,"Qingdao, China",,"Rotterdam, Netherlands",05-Aug-2025,06-Sep-2025,28-Jul-2025,05-Aug-2025,06-Sep-2025,14-Sep-2025,,0,0,2,0,,,,,CB100207,05-Oct-2025,Bettina Schroeder,Calderwood Brands GmbH - Hamburg,open,USD,13897.76,-related-,CB100207,1630,Origin Charges - All In,2489.84
720007,CT720007,41007,Calderwood Brands GmbH (DE),EXW,OCEAN - FCL (AW),"Jiaozhou Fengtai Housewares Co., Ltd. - Jiaozhou",Calderwood Benelux B.V. - Eindhoven,China,Netherlands,"Qingdao, China","Rotterdam, Netherlands",Maasgouw Contract Logistics - Born,"Qingdao, China",,"Rotterdam, Netherlands",05-Aug-2025,06-Sep-2025,28-Jul-2025,05-Aug-2025,06-Sep-2025,14-Sep-2025,,,,,,,,,,CB100207,26-Sep-2025,Bettina Schroeder,Calderwood Brands GmbH - Hamburg,open,USD,13897.76,-related-,CB100207,1601,Origin Handling,307.68
720007,CT720007,41007,Calderwood Brands GmbH (DE),EXW,OCEAN - FCL (AW),"Jiaozhou Fengtai Housewares Co., Ltd. - Jiaozhou",Calderwood Benelux B.V. - Eindhoven,China,Netherlands,"Qingdao, China","Rotterdam, Netherlands",Maasgouw Contract Logistics - Born,"Qingdao, China",,"Rotterdam, Netherlands",05-Aug-2025,06-Sep-2025,28-Jul-2025,05-Aug-2025,06-Sep-2025,14-Sep-2025,,,,,,,,,,CB100207,20-Sep-2025,Bettina Schroeder,Calderwood Brands GmbH - Hamburg,open,USD,13897.76,-related-,CB100207,1638,DAP Charges - 40' HC,3208.61
720007,CT720007,41007,Calderwood Brands GmbH (DE),EXW,OCEAN - FCL (AW),"Jiaozhou Fengtai Housewares Co., Ltd. - Jiaozhou",Calderwood Benelux B.V. - Eindhoven,China,Netherlands,"Qingdao, China","Rotterdam, Netherlands",Maasgouw Contract Logistics - Born,"Qingdao, China",,"Rotterdam, Netherlands",05-Aug-2025,06-Sep-2025,28-Jul-2025,05-Aug-2025,06-Sep-2025,14-Sep-2025,,,,,,,,,,CB100207,26-Sep-2025,Bettina Schroeder,Calderwood Brands GmbH - Hamburg,open,USD,13897.76,-related-,CB100207,1620,Bill of Lading Fee,69.28
720007,CT720007,41007,Calderwood Brands GmbH (DE),EXW,OCEAN - FCL (AW),"Jiaozhou Fengtai Housewares Co., Ltd. - Jiaozhou",Calderwood Benelux B.V. - Eindhoven,China,Netherlands,"Qingdao, China","Rotterdam, Netherlands",Maasgouw Contract Logistics - Born,"Qingdao, China",,"Rotterdam, Netherlands",05-Aug-2025,06-Sep-2025,28-Jul-2025,05-Aug-2025,06-Sep-2025,14-Sep-2025,,,,,,,,,,CB100207,04-Oct-2025,Bettina Schroeder,Calderwood Brands GmbH - Hamburg,open,USD,13897.76,-related-,CB100207,1600,Outlay Fee 2.5 %,86.66
720008,CT720008,41008,Calderwood Brands GmbH (DE),DAP,AIR,Sriperumbudur Kalyan Enclosures Pvt. Ltd. - Sriperumbudur,Calderwood Polska Sp. z o.o. - Poznan,India,Poland,"Chennai, India","Gdansk, Poland",Wisla Logistyka Kontraktowa Sp. z o.o. - N/A,"Chennai, India",,"Gdansk, Poland",17-Feb-2026,23-Feb-2026,12-Feb-2026,17-Feb-2026,23-Feb-2026,06-Mar-2026,,,,,,22.409,8868.73,8868.73,18,CB100208,10-Mar-2026,Ruben Oosterhuis,Calderwood Brands GmbH - Hamburg,open,EUR,28949.86,31555.35,CB100208,1101,Airfreight,30140.23
720008,CT720008,41008,Calderwood Brands GmbH (DE),DAP,AIR,Sriperumbudur Kalyan Enclosures Pvt. Ltd. - Sriperumbudur,Calderwood Polska Sp. z o.o. - Poznan,India,Poland,"Chennai, India","Gdansk, Poland",Wisla Logistyka Kontraktowa Sp. z o.o. - N/A,"Chennai, India",,"Gdansk, Poland",17-Feb-2026,23-Feb-2026,12-Feb-2026,17-Feb-2026,23-Feb-2026,06-Mar-2026,,,,,,,,,,CB100208,17-Mar-2026,Ruben Oosterhuis,Calderwood Brands GmbH - Hamburg,open,EUR,28949.86,-related-,CB100208,1601,Origin Handling,151.74
720008,CT720008,41008,Calderwood Brands GmbH (DE),DAP,AIR,Sriperumbudur Kalyan Enclosures Pvt. Ltd. - Sriperumbudur,Calderwood Polska Sp. z o.o. - Poznan,India,Poland,"Chennai, India","Gdansk, Poland",Wisla Logistyka Kontraktowa Sp. z o.o. - N/A,"Chennai, India",,"Gdansk, Poland",17-Feb-2026,23-Feb-2026,12-Feb-2026,17-Feb-2026,23-Feb-2026,06-Mar-2026,,,,,,,,,,CB100208,15-Mar-2026,Ruben Oosterhuis,Calderwood Brands GmbH - Hamburg,open,EUR,28949.86,-related-,CB100208,1503,Import Trucking - 40'hc,1191.52
720008,CT720008,41008,Calderwood Brands GmbH (DE),DAP,AIR,Sriperumbudur Kalyan Enclosures Pvt. Ltd. - Sriperumbudur,Calderwood Polska Sp. z o.o. - Poznan,India,Poland,"Chennai, India","Gdansk, Poland",Wisla Logistyka Kontraktowa Sp. z o.o. - N/A,"Chennai, India",,"Gdansk, Poland",17-Feb-2026,23-Feb-2026,12-Feb-2026,17-Feb-2026,23-Feb-2026,06-Mar-2026,,,,,,,,,,CB100208,20-Mar-2026,Ruben Oosterhuis,Calderwood Brands GmbH - Hamburg,open,EUR,28949.86,-related-,CB100208,1620,Bill of Lading Fee,71.86
720009,CT720009,41009,Calderwood Brands GmbH (DE),EXW,OCEAN - FCL (AW),"Jiaozhou Fengtai Housewares Co., Ltd. - Jiaozhou",Calderwood Brands GmbH - Hamburg,China,Germany,"Qingdao, China","Hamburg, Germany",Nordfracht Kontraktlogistik - Hannover,"Qingdao, China",,"Hamburg, Germany",2025-03-12,2025-04-27,2025-03-03,2025-03-12,2025-04-27,2025-05-07,,0,0,1,0,50.461,13272.15,13272.15,36,CB100209,2025-05-12,Lena Brandt,Calderwood Brands GmbH - Hamburg,open,EUR,7616.72,8302.23,CB100209,1301,Oceanfreight - FCL & Services,4324.35
720009,CT720009,41009,Calderwood Brands GmbH (DE),EXW,OCEAN - FCL (AW),"Jiaozhou Fengtai Housewares Co., Ltd. - Jiaozhou",Calderwood Brands GmbH - Hamburg,China,Germany,"Qingdao, China","Hamburg, Germany",Nordfracht Kontraktlogistik - Hannover,"Qingdao, China",,"Hamburg, Germany",2025-03-12,2025-04-27,2025-03-03,2025-03-12,2025-04-27,2025-05-07,,0,0,1,0,,,,,CB100209,2025-05-23,Lena Brandt,Calderwood Brands GmbH - Hamburg,open,EUR,7616.72,-related-,CB100209,1630,Origin Charges (All Inclusive),1258.29
720009,CT720009,41009,Calderwood Brands GmbH (DE),EXW,OCEAN - FCL (AW),"Jiaozhou Fengtai Housewares Co., Ltd. - Jiaozhou",Calderwood Brands GmbH - Hamburg,China,Germany,"Qingdao, China","Hamburg, Germany",Nordfracht Kontraktlogistik - Hannover,"Qingdao, China",,"Hamburg, Germany",2025-03-12,2025-04-27,2025-03-03,2025-03-12,2025-04-27,2025-05-07,,,,,,,,,,CB100209,2025-05-19,Lena Brandt,Calderwood Brands GmbH - Hamburg,open,EUR,7616.72,-related-,CB100209,1601,Origin Handling,166.96
720009,CT720009,41009,Calderwood Brands GmbH (DE),EXW,OCEAN - FCL (AW),"Jiaozhou Fengtai Housewares Co., Ltd. - Jiaozhou",Calderwood Brands GmbH - Hamburg,China,Germany,"Qingdao, China","Hamburg, Germany",Nordfracht Kontraktlogistik - Hannover,"Qingdao, China",,"Hamburg, Germany",2025-03-12,2025-04-27,2025-03-03,2025-03-12,2025-04-27,2025-05-07,,,,,,,,,,CB100209,2025-05-16,Lena Brandt,Calderwood Brands GmbH - Hamburg,open,EUR,7616.72,-related-,CB100209,1638,DAP Delivery Charges,1573.44
720009,CT720009,41009,Calderwood Brands GmbH (DE),EXW,OCEAN - FCL (AW),"Jiaozhou Fengtai Housewares Co., Ltd. - Jiaozhou",Calderwood Brands GmbH - Hamburg,China,Germany,"Qingdao, China","Hamburg, Germany",Nordfracht Kontraktlogistik - Hannover,"Qingdao, China",,"Hamburg, Germany",2025-03-12,2025-04-27,2025-03-03,2025-03-12,2025-04-27,2025-05-07,,,,,,,,,,CB100209,2025-05-14,Lena Brandt,Calderwood Brands GmbH - Hamburg,open,EUR,7616.72,-related-,CB100209,1505,Destination Terminal Handling,266.32
720009,CT720009,41009,Calderwood Brands GmbH (DE),EXW,OCEAN - FCL (AW),"Jiaozhou Fengtai Housewares Co., Ltd. - Jiaozhou",Calderwood Brands GmbH - Hamburg,China,Germany,"Qingdao, China","Hamburg, Germany",Nordfracht Kontraktlogistik - Hannover,"Qingdao, China",,"Hamburg, Germany",2025-03-12,2025-04-27,2025-03-03,2025-03-12,2025-04-27,2025-05-07,,,,,,,,,,CB100209,2025-05-22,Lena Brandt,Calderwood Brands GmbH - Hamburg,open,EUR,7616.72,-related-,CB100209,1511,Destination Port Charges,205.24
720009,CT720009,41009,Calderwood Brands GmbH (DE),EXW,OCEAN - FCL (AW),"Jiaozhou Fengtai Housewares Co., Ltd. - Jiaozhou",Calderwood Brands GmbH - Hamburg,China,Germany,"Qingdao, China","Hamburg, Germany",Nordfracht Kontraktlogistik - Hannover,"Qingdao, China",,"Hamburg, Germany",2025-03-12,2025-04-27,2025-03-03,2025-03-12,2025-04-27,2025-05-07,,,,,,,,,,CB100209,2025-05-22,Lena Brandt,Calderwood Brands GmbH - Hamburg,open,EUR,7616.72,-related-,CB100209,1621,Telex Release Fee,507.63
720010,CT720010,41010,Calderwood Brands GmbH (DE),DAP,OCEAN - FCL (AW),"Dezhou Xingyuan Textile Homeware Co., Ltd. - Dezhou",Calderwood Polska Sp. z o.o. - Poznan,China,Poland,"Qingdao, China","Gdansk, Poland",Wisla Logistyka Kontraktowa - Poznan,"Qingdao, China",,"Gdansk, Poland",24-Apr-2026,03-Jun-2026,21-Apr-2026,24-Apr-2026,03-Jun-2026,07-Jun-2026,,0,0,1,0,10.528,2418.24,2418.24,8,CB100210,19-Jun-2026,Bettina Schroeder,Calderwood Brands GmbH - Hamburg,open,EUR,5300.84,5777.92,CB100210,1301,Oceanfreight - FCL,4234.29
720010,CT720010,41010,Calderwood Brands GmbH (DE),DAP,OCEAN - FCL (AW),"Dezhou Xingyuan Textile Homeware Co., Ltd. - Dezhou",Calderwood Polska Sp. z o.o. - Poznan,China,Poland,"Qingdao, China","Gdansk, Poland",Wisla Logistyka Kontraktowa - Poznan,"Qingdao, China",,"Gdansk, Poland",24-Apr-2026,03-Jun-2026,21-Apr-2026,24-Apr-2026,03-Jun-2026,07-Jun-2026,,0,0,1,0,,,,,CB100210,23-Jun-2026,Bettina Schroeder,Calderwood Brands GmbH - Hamburg,open,EUR,5300.84,-related-,CB100210,1601,Origin Handling,165.48
720010,CT720010,41010,Calderwood Brands GmbH (DE),DAP,OCEAN - FCL (AW),"Dezhou Xingyuan Textile Homeware Co., Ltd. - Dezhou",Calderwood Polska Sp. z o.o. - Poznan,China,Poland,"Qingdao, China","Gdansk, Poland",Wisla Logistyka Kontraktowa - Poznan,"Qingdao, China",,"Gdansk, Poland",24-Apr-2026,03-Jun-2026,21-Apr-2026,24-Apr-2026,03-Jun-2026,07-Jun-2026,,,,,,,,,,CB100210,24-Jun-2026,Bettina Schroeder,Calderwood Brands GmbH - Hamburg,open,EUR,5300.84,-related-,CB100210,1638,DAP Charges - 40' HC,1304.28
720010,CT720010,41010,Calderwood Brands GmbH (DE),DAP,OCEAN - FCL (AW),"Dezhou Xingyuan Textile Homeware Co., Ltd. - Dezhou",Calderwood Polska Sp. z o.o. - Poznan,China,Poland,"Qingdao, China","Gdansk, Poland",Wisla Logistyka Kontraktowa - Poznan,"Qingdao, China",,"Gdansk, Poland",24-Apr-2026,03-Jun-2026,21-Apr-2026,24-Apr-2026,03-Jun-2026,07-Jun-2026,,,,,,,,,,CB100210,16-Jun-2026,Bettina Schroeder,Calderwood Brands GmbH - Hamburg,open,EUR,5300.84,-related-,CB100210,1620,Bill of Lading Fee,73.87
