Rate_ID,Category,Item,Rate,Currency,Rate_Basis,Node_From,Node_To,Ch_Code,Min_Charge,Effective_From,Source
ORIG-WEIFANG-1633,ORIGIN_COMPONENT,EXW VGM Filing (WEIFANG),44.00,USD,Per Container,WEIFANG,WEIFANG port,1633,,2025-01-01,CLIENT_RATE_CARD
ORIG-WEIFANG-1634,ORIGIN_COMPONENT,EXW Seal Fee (WEIFANG),36.00,USD,Per Container,WEIFANG,WEIFANG port,1634,,2025-01-01,CLIENT_RATE_CARD
ORIG-WEIFANG-1635,ORIGIN_COMPONENT,EXW Export Documentation (WEIFANG),68.00,USD,Per Container,WEIFANG,WEIFANG port,1635,,2025-01-01,CLIENT_RATE_CARD
ORIG-WEIFANG-1636,ORIGIN_COMPONENT,EXW Customs Export Declaration (WEIFANG),92.00,USD,Per Container,WEIFANG,WEIFANG port,1636,,2025-01-01,CLIENT_RATE_CARD
ORIG-WEIFANG-1637,ORIGIN_COMPONENT,EXW Origin Service Fee (WEIFANG),115.00,USD,Per Container,WEIFANG,WEIFANG port,1637,,2025-01-01,CLIENT_RATE_CARD
ORIG-YANTAI-1632,ORIGIN_COMPONENT,EXW Terminal Handling (THC) (YANTAI),295.00,USD,Per Container,YANTAI,YANTAI port,1632,,2025-01-01,CLIENT_RATE_CARD
ORIG-YANTAI-1633,ORIGIN_COMPONENT,EXW VGM Filing (YANTAI),44.00,USD,Per Container,YANTAI,YANTAI port,1633,,2025-01-01,CLIENT_RATE_CARD
ORIG-YANTAI-1634,ORIGIN_COMPONENT,EXW Seal Fee (YANTAI),36.00,USD,Per Container,YANTAI,YANTAI port,1634,,2025-01-01,CLIENT_RATE_CARD
ORIG-YANTAI-1635,ORIGIN_COMPONENT,EXW Export Documentation (YANTAI),68.00,USD,Per Container,YANTAI,YANTAI port,1635,,2025-01-01,CLIENT_RATE_CARD
ORIG-YANTAI-1636,ORIGIN_COMPONENT,EXW Customs Export Declaration (YANTAI),92.00,USD,Per Container,YANTAI,YANTAI port,1636,,2025-01-01,CLIENT_RATE_CARD
ORIG-YANTAI-1637,ORIGIN_COMPONENT,EXW Origin Service Fee (YANTAI),115.00,USD,Per Container,YANTAI,YANTAI port,1637,,2025-01-01,CLIENT_RATE_CARD
DTERM-1505,DEST_TERMINAL,Destination Terminal Handling,248.00,USD,Per Container,,,1505,,2025-01-01,CLIENT_RATE_CARD
ORIG-MISC-1601,OTHER,Origin Handling,162.00,USD,Per Container,,,1601,,2025-01-01,CLIENT_RATE_CARD
ORIG-MISC-1620,OTHER,Bill of Lading Fee,72.00,USD,Per Container,,,1620,,2025-01-01,CLIENT_RATE_CARD
